回答ID,回答日,拠点名,接客対応_評価,接客対応_コメント,清潔さ_評価,清潔さ_コメント,設備_評価,設備_コメント,対応スピード_評価,対応スピード_コメント,総合満足度_評価,総合満足度_コメント
R00001,2026-07-04,札幌店,5,,5,清掃が行き届いていました,3,設備は必要十分でした,1,呼んでもなかなか来てもらえませんでした,5,期待以上のサービスでした
R00002,2026-07-18,札幌店,4,,5,,2,,4,,3,
R00003,2026-07-01,札幌店,3,,,清潔さは普通でした,4,,4,,5,期待以上のサービスでした
R00004,2026-07-24,札幌店,3,,4,,5,,3,,1,
R00005,2026-07-07,札幌店,1,,4,,4,,2,,3,
R00006,2026-07-02,札幌店,1,説明が分かりにくかったです,4,店内がとても清潔で気持ちよかったです,5,,1,待ち時間が長く感じました,5,
R00007,2026-07-06,札幌店,4,笑顔で挨拶していただき気持ちよかったです,5,,4,,1,呼んでもなかなか来てもらえませんでした,4,
R00008,2026-07-22,札幌店,4,,4,,1,,5,案内が早くて助かりました,5,また利用したいと思います
R00009,2026-07-25,札幌店,5,,1,トイレの清掃が行き届いていませんでした,,設備は必要十分でした,4,,1,
R00010,2026-07-28,札幌店,5,,4,,4,設備が新しく快適でした,4,案内が早くて助かりました,1,期待外れでした
R00011,2026-07-04,札幌店,5,,4,清掃が行き届いていました,4,,2,,5,期待以上のサービスでした
R00012,2026-07-02,札幌店,1,,5,,2,,3,待ち時間は許容範囲でした,2,
R00013,2026-07-08,札幌店,5,笑顔で挨拶していただき気持ちよかったです,3,清潔さは普通でした,5,,1,,1,
R00014,2026-07-20,札幌店,,特に問題はありませんでした,2,トイレの清掃が行き届いていませんでした,4,設備が新しく快適でした,1,,5,また利用したいと思います
R00015,2026-08-14,札幌店,2,説明が分かりにくかったです,1,,1,空調の効きが悪かったです,4,案内が早くて助かりました,1,
R00016,2026-08-09,札幌店,2,,,,2,設備が古く感じました,1,,1,期待外れでした
R00017,2026-08-08,札幌店,4,,3,,4,,4,案内が早くて助かりました,,
R00018,2026-08-03,札幌店,5,,1,トイレの清掃が行き届いていませんでした,4,設備が新しく快適でした,5,,2,
R00019,2026-08-02,札幌店,,,1,トイレの清掃が行き届いていませんでした,2,駐車場が狭くて停めにくかったです,1,呼んでもなかなか来てもらえませんでした,3,可もなく不可もなくという印象です
