回答ID,回答日,拠点名,接客対応_評価,接客対応_コメント,清潔さ_評価,清潔さ_コメント,設備_評価,設備_コメント,対応スピード_評価,対応スピード_コメント,総合満足度_評価,総合満足度_コメント
R00001,2026-07-03,砂丘 休暇村,5,スタッフの対応がとても丁寧でした,5,館内がとても清潔で気持ちよかったです,5,,4,チェックインがスムーズでした,5,
R00002,2026-07-11,砂丘 休暇村,2,,3,清潔さは普通でした,5,,4,,1,次は利用しないかもしれません
R00003,2026-07-01,砂丘 休暇村,5,質問にすぐ答えてくれて助かりました,3,,4,駐車場が広くて停めやすかったです,1,チェックインの待ち時間が長く感じました,4,
R00004,2026-07-15,砂丘 休暇村,5,,4,清掃が行き届いていました,3,,3,待ち時間は許容範囲でした,5,家族にもすすめたいです
R00005,2026-07-08,砂丘 休暇村,5,,5,清掃が行き届いていました,5,温泉がとても良かったです,5,,3,可もなく不可もなくという印象です
R00006,2026-07-11,砂丘 休暇村,5,,5,清掃が行き届いていました,3,設備は必要十分でした,5,,4,期待以上のサービスでした
R00007,2026-07-29,砂丘 休暇村,3,,5,,5,,2,,3,可もなく不可もなくという印象です
R00008,2026-07-13,砂丘 休暇村,4,質問にすぐ答えてくれて助かりました,5,,4,,3,,4,また利用したいと思います
R00009,2026-07-27,砂丘 休暇村,3,普通の対応でした,3,清潔さは普通でした,4,,5,案内が早くて助かりました,2,
R00010,2026-07-15,砂丘 休暇村,3,普通の対応でした,5,館内がとても清潔で気持ちよかったです,1,設備が古く感じました,1,食事の提供が遅く感じました,5,
R00011,2026-07-25,砂丘 休暇村,4,スタッフの対応がとても丁寧でした,5,清掃が行き届いていました,2,,5,,4,
R00012,2026-07-30,砂丘 休暇村,5,スタッフの対応がとても丁寧でした,2,大浴場の清掃が行き届いていませんでした,1,,3,,1,
R00013,2026-07-02,砂丘 休暇村,3,普通の対応でした,5,,5,,3,待ち時間は許容範囲でした,4,
R00014,2026-07-02,砂丘 休暇村,5,,3,清潔さは普通でした,1,,1,,4,また利用したいと思います
R00015,2026-07-23,砂丘 休暇村,4,スタッフの対応がとても丁寧でした,4,,5,部屋が新しく快適でした,5,,3,
R00016,2026-07-07,砂丘 休暇村,5,スタッフの対応がとても丁寧でした,,,3,設備は必要十分でした,5,,3,
R00017,2026-07-18,砂丘 休暇村,1,スタッフの対応が冷たく感じました,3,清潔さは普通でした,3,設備は必要十分でした,5,,5,
R00018,2026-07-11,砂丘 休暇村,5,,3,,5,,4,,5,
